gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
686389681	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8b908ce8-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	nicaraguae	SUBSPECIES	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	Leopardus wiedii nicaraguae		CR	FILADELFIA, 7 MI SW OF	Guanacaste	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	10.3706958	-85.624341							1954-03-12	12	3	1954	6164540	2434950	PRESERVED_SPECIMEN	KU	KUM	60503				CC_BY_4_0		WILLE A & DALY H V			2024-10-02T16:32:37.218Z		COORDINATE_REPROJECTED
4974144521	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247868379	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.454945	-83.484608	31189.0						2024-10-11T22:00	11	10	2024	5219426	5219426	HUMAN_OBSERVATION	iNaturalist	Observations	247868379		derick_gil	2024-10-18T05:27:21	CC_BY_NC_4_0	derick_gil	derick_gil			2024-10-28T17:01:49.245Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4973801643	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248071168	Animalia	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus		SPECIES	Felis catus Linnaeus, 1758	Felis catus		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.0267	-85.729014	7915.0						2024-10-18T14:20:38	18	10	2024	2435035	2435035	HUMAN_OBSERVATION	iNaturalist	Observations	248071168		miguelsuarez21	2024-10-19T14:22:17	CC_BY_NC_4_0	miguelsuarez21	miguelsuarez21			2024-10-28T17:26:51.446Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4958349579	8c2b0792-1727-4795-853c-b1032a8d5f3b	2023ICEFC333	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	Siquirres		PRESENT	1	0553362c-9393-411f-bec2-116d0c343c4c	10.122824	-83.561349	5000.0						2023-09-20	20	9	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Fournier Gutiérrez; Mariela Granados López			2024-10-23T21:35:34.190Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958349563	8c2b0792-1727-4795-853c-b1032a8d5f3b	2023ICEFC337	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	Siquirres		PRESENT	1	0553362c-9393-411f-bec2-116d0c343c4c	10.122824	-83.561349	5000.0						2023-09-20	20	9	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Fournier Gutiérrez; Mariela Granados López			2024-10-23T21:35:34.133Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958341058	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2226	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	4	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-04-17	17	4	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.337Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958341029	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2224	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.333Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340993	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2232	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.328Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340979	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2687	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR	CG-PAI		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.762941	-85.343174	5000.0						2023-05-28	28	5	2023	5219426	5219426	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.323Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340936	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2214	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.318Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340838	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1799	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	6	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-08-18	18	8	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.266Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340814	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2640	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-PAI		PRESENT	1	0553362c-9393-411f-bec2-116d0c343c4c	10.762941	-85.343174	5000.0										2434982	2434982	HUMAN_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.262Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340812	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1795	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	4	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.262Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340692	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2249	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	4	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-09-22	22	9	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.215Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340686	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2240	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	5	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-03-03	3	3	2023	2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.213Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340676	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2244	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	3	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.212Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340655	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2251	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	1	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-08-30	30	8	2023	2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.208Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340649	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG2254	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR	CG-BOR		PRESENT	3	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-09-23	23	9	2023	5219426	5219426	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.208Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340638	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1811	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	3	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-11-18	18	11	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.205Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340635	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1829	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-05-26	26	5	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.205Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340630	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1824	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	4	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-11-16	16	11	2023	2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.204Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340605	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1897	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-08-20	20	8	2023	2435099	2435099	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.200Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340601	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1898	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	2	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0										2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.200Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4958340594	68a1ea89-99a7-41ce-8194-2a8d91450754	2023ICEFG1896	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	CG-BOR		PRESENT	1	0553362c-9393-411f-bec2-116d0c343c4c	10.819316	-85.4147	5000.0						2023-02-15	15	2	2023	2434982	2434982	MACHINE_OBSERVATION							CC_BY_NC_4_0		Laura Artavia Murillo			2024-10-23T20:29:39.199Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
